id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,speed,sim,f_camera,camera,memory,screen,wifi,price
0,842,0.6,188,20,756,2549,9,7,19,No,2,medium,Single,1.0,2.0,7310,LCD,b,836.49
1,1021,0.7,136,905,1988,2631,17,3,7,Yes,4,low,Dual,,6.0,53398,Touch,none,670.99
2,563,0.9,145,1263,1716,2603,11,2,9,Yes,4,low,Dual,2.0,6.0,41938,Touch,none,1103.21
3,615,0.8,131,1216,1786,2769,16,8,11,Yes,3,high,Single,,9.0,10231,LCD,none,1033.3
4,1821,0.6,141,1208,1212,1411,8,2,15,Yes,4,medium,Single,13.0,14.0,44433,Touch,none,864.75
5,1859,0.7,164,1004,1654,1067,17,1,10,No,3,low,Dual,3.0,7.0,22623,LCD,none,814.46
6,1821,0.8,139,381,1018,3220,13,8,18,No,4,medium,Single,4.0,10.0,10800,LCD,a,1054.76
7,1954,0.8,187,512,1149,700,16,3,5,No,3,low,Dual,,,24382,Touch,b,600.65
8,1445,0.7,174,386,836,1099,17,1,20,Yes,3,low,Single,,14.0,53587,LCD,none,738.96
9,509,0.1,93,1137,1224,513,19,10,12,Yes,4,low,Dual,2.0,15.0,9644,LCD,none,680.35
10,769,0.1,182,248,874,3946,5,2,7,Yes,2,high,Dual,,1.0,10162,LCD,none,676.09
11,1520,0.5,177,151,1005,3826,14,9,13,Yes,4,medium,Single,5.0,18.0,33307,Touch,n,1132.94
12,1815,0.6,159,607,748,1482,18,0,2,No,3,high,Single,2.0,17.0,33677,LCD,none,968.35
13,803,1.0,198,344,1440,2680,7,1,4,Yes,3,medium,Single,7.0,11.0,17414,LCD,g,768.61
14,1866,0.7,185,356,563,373,14,9,3,No,4,low,Single,13.0,17.0,52715,LCD,b,708.23
15,775,0.7,159,862,1864,568,17,15,11,No,3,medium,Single,3.0,16.0,46367,Touch,a,635.11
16,838,0.1,196,984,1850,3554,10,9,19,No,4,low,Single,1.0,4.0,13393,LCD,g,921.48
17,595,0.1,121,441,810,3752,10,2,18,No,4,low,Dual,7.0,17.0,23635,Touch,none,730.4
18,1131,0.6,101,658,878,1835,19,13,16,Yes,3,low,Dual,11.0,18.0,49316,Touch,none,763.58
19,682,1.0,121,902,1064,2337,11,1,18,Yes,2,low,Single,4.0,11.0,19517,Touch,b,584.33
20,772,0.8,81,1314,1854,2819,17,15,3,No,3,medium,Dual,12.0,14.0,39337,Touch,none,795.77
21,1709,1.0,156,974,1385,3283,17,1,15,Yes,3,medium,Single,1.0,2.0,13859,LCD,none,1053.96
22,1949,0.3,199,407,822,1433,11,5,20,No,2,high,Dual,4.0,7.0,47717,LCD,a,678.08
23,1602,0.7,114,466,788,1037,8,7,20,Yes,4,high,Dual,4.0,20.0,38499,LCD,none,921.17
24,503,0.4,111,201,1245,2583,11,0,12,No,4,medium,Dual,5.0,13.0,8413,LCD,none,849.99
25,961,0.6,114,291,1434,2782,18,9,7,Yes,4,medium,Dual,,3.0,57542,Touch,a,1177.53
26,519,0.3,132,550,645,3763,16,1,4,Yes,4,medium,Dual,7.0,19.0,51879,LCD,a,1266.59
27,956,1.0,143,511,1075,3286,17,8,12,No,4,low,Single,1.0,6.0,41544,Touch,none,1363.63
28,1453,0.3,96,187,1311,2373,10,1,10,No,4,medium,Dual,12.0,18.0,52882,Touch,n,974.29
29,851,0.4,200,1171,1263,478,12,7,10,No,3,low,Single,3.0,7.0,21912,LCD,a,659.46
30,1579,0.2,88,1358,1739,3532,17,11,12,Yes,2,low,Dual,,9.0,5261,LCD,a,1169.07
31,1568,1.0,150,413,654,508,5,1,6,Yes,3,low,Single,16.0,20.0,33801,Touch,b,635.01
32,1319,0.9,107,85,1152,2227,18,5,3,Yes,4,low,Single,3.0,18.0,41527,Touch,g,1242.4
33,1310,0.6,100,178,1919,3845,7,0,12,Yes,4,medium,Dual,,,51438,Touch,none,1329.33
34,644,0.7,157,311,881,1262,12,1,15,Yes,3,high,Single,,3.0,22381,LCD,none,556.76
35,725,0.4,160,1134,1249,1326,10,4,15,No,3,medium,Dual,16.0,17.0,60600,LCD,none,700.31
36,589,0.6,160,429,815,2113,13,7,2,Yes,3,high,Dual,1.0,10.0,61382,LCD,a,802.13
37,1725,0.5,119,609,1307,3429,6,5,4,Yes,4,medium,Dual,6.0,18.0,6949,Touch,none,1407.3
38,790,0.3,87,347,730,3169,6,1,2,No,4,medium,Dual,16.0,17.0,11687,LCD,g,1219.01
39,560,0.3,159,1448,1613,2150,18,12,11,No,3,low,Dual,15.0,20.0,50494,Touch,none,774.06
40,1347,0.6,132,434,967,2484,18,2,11,No,3,high,Single,5.0,14.0,44475,LCD,a,677.46
41,1646,0.2,185,1725,1932,3339,18,10,19,Yes,4,high,Single,8.0,10.0,41201,Touch,none,1365.33
42,1253,0.2,152,685,714,1878,15,0,4,Yes,4,low,Dual,5.0,19.0,5760,Touch,none,764.65
43,1656,0.1,166,880,1456,1629,15,12,14,No,4,medium,Single,5.0,7.0,34397,Touch,none,973.57
44,1195,0.8,110,1580,1652,504,9,3,12,Yes,4,high,Single,1.0,14.0,20353,Touch,none,910.11
45,1514,0.2,118,186,1810,1152,8,3,20,No,2,high,Single,,1.0,27202,Touch,a,617.77
46,1723,1.0,164,202,1791,3587,10,5,3,Yes,3,medium,Dual,1.0,14.0,42741,LCD,none,1108.53
47,1054,0.8,196,27,774,2296,16,12,12,Yes,4,medium,Dual,3.0,10.0,40173,LCD,g,745.17
48,578,0.2,162,1025,1433,1270,15,3,5,Yes,4,high,Dual,2.0,8.0,57618,LCD,g,766.28
49,596,0.8,111,885,1854,3238,16,13,10,No,2,medium,Dual,9.0,15.0,64547,LCD,none,748.46
50,1547,0.7,198,1042,1832,2059,5,0,15,Yes,4,high,Dual,2.0,19.0,14866,LCD,n,1199.07
51,1760,0.8,127,1382,1383,2053,19,12,16,No,2,medium,Dual,5.0,19.0,63168,Touch,none,843.24
52,1654,0.3,109,546,629,3112,12,5,10,Yes,4,medium,Dual,,,43631,Touch,none,1037.17
53,1457,0.3,102,1013,1287,1440,17,8,12,No,4,medium,Dual,1.0,10.0,16281,LCD,n,938.51
54,1073,0.5,145,690,804,2908,6,0,18,Yes,2,low,Dual,,,51500,Touch,none,837.95
55,1936,0.6,104,667,1036,2552,14,7,13,No,4,medium,Dual,10.0,20.0,46271,LCD,none,998.77
56,823,0.5,148,822,1449,905,14,11,17,Yes,3,high,Dual,13.0,19.0,60169,Touch,a,579.22
57,987,0.4,107,581,820,3963,9,4,20,No,4,medium,Dual,,9.0,61233,LCD,g,1035.89
58,1757,0.5,180,265,713,2056,7,5,4,No,2,low,Single,8.0,14.0,49490,LCD,none,911.06
59,1063,1.0,128,127,683,2910,15,13,9,No,4,medium,Dual,2.0,4.0,48535,Touch,a,1153.68
60,1484,0.6,134,916,969,1457,14,4,20,No,3,high,Single,3.0,5.0,12350,Touch,none,794.53
61,799,0.8,144,361,975,431,15,6,6,Yes,4,high,Single,1.0,6.0,63164,Touch,a,694.8
62,1156,0.8,159,322,547,470,7,0,15,Yes,4,medium,Dual,,,50434,Touch,none,635.58
63,1720,0.5,168,753,1353,2148,14,2,5,No,4,medium,Single,15.0,18.0,55517,Touch,g,997.06
64,702,0.7,141,504,1570,2955,10,4,19,No,4,high,Dual,2.0,3.0,9160,LCD,none,694.5
65,616,0.8,81,651,1618,3366,18,8,13,No,4,medium,Dual,13.0,17.0,44238,Touch,none,1059.59
66,1358,0.3,155,1565,1858,3068,9,4,4,Yes,4,low,Single,11.0,14.0,36142,Touch,none,1174.61
67,1866,0.5,182,108,1781,3834,16,11,8,No,2,medium,Single,,,29992,LCD,none,819.22
68,1242,0.6,165,459,1225,1050,11,1,4,No,3,medium,Dual,,1.0,10114,LCD,g,732.65
69,1166,0.8,80,205,603,3993,7,1,7,No,4,medium,Dual,,1.0,43762,Touch,none,993.78
70,1448,0.8,138,570,1724,3378,13,11,2,Yes,4,low,Dual,6.0,11.0,45885,Touch,n,1131.59
71,1407,0.7,104,1172,1217,2192,9,7,13,Yes,4,high,Single,1.0,4.0,22243,LCD,a,864.82
72,605,0.1,142,160,1026,392,15,6,4,No,4,medium,Single,8.0,16.0,9674,LCD,none,468.7
73,1038,0.7,141,4,638,3709,11,0,12,No,3,medium,Single,3.0,5.0,43575,Touch,g,926.3
74,797,0.5,90,763,1413,590,9,2,6,Yes,2,high,Dual,4.0,6.0,38634,Touch,none,423.17
75,819,0.9,188,339,1242,1814,5,4,13,No,4,low,Dual,8.0,20.0,42525,LCD,b,829.94
76,1114,0.4,197,1040,1071,907,10,7,17,No,4,high,Single,4.0,15.0,9435,Touch,none,1030.64
77,1234,0.6,172,166,778,1449,11,7,6,Yes,2,medium,Dual,1.0,3.0,33918,LCD,n,710.87
78,1199,0.2,116,1168,1552,3448,17,13,10,Yes,4,high,Dual,15.0,20.0,16627,LCD,a,1128.28
79,1103,0.7,111,990,1486,1837,8,7,16,No,2,medium,Dual,6.0,8.0,29562,Touch,n,772.06
80,1589,0.9,85,319,1206,3464,19,10,6,Yes,4,low,Dual,,7.0,58192,Touch,n,1128.28
81,999,0.2,199,1397,1616,2593,14,11,16,No,4,high,Dual,11.0,19.0,64116,Touch,none,1422.75
82,1510,0.9,180,708,1752,3484,9,6,11,Yes,2,low,Dual,2.0,3.0,45606,Touch,g,1108.97
83,1008,1.0,114,1077,1122,2009,10,3,11,No,3,low,Single,11.0,15.0,61494,LCD,none,762.85
84,1127,0.8,163,928,1049,2048,11,5,17,Yes,4,high,Dual,5.0,13.0,57525,Touch,n,1157.79
85,1412,0.8,96,516,1894,837,15,9,4,Yes,2,high,Single,5.0,17.0,25799,LCD,b,623.31
86,1496,0.5,182,96,741,854,16,0,7,Yes,2,medium,Dual,4.0,5.0,42373,Touch,a,492.81
87,1083,0.8,178,1025,1118,3210,13,3,4,Yes,4,high,Dual,1.0,11.0,64707,LCD,none,1129.56
88,668,0.1,155,666,1203,2746,9,5,8,No,3,low,Dual,,13.0,3562,Touch,b,864.56
89,1309,0.5,100,557,1402,2334,10,1,11,No,3,medium,Dual,,14.0,33129,LCD,a,861.24
90,1724,0.5,177,1605,1924,2822,19,3,16,No,4,medium,Dual,2.0,5.0,57473,Touch,none,1135.33
91,1977,1.0,171,1226,1242,1971,18,7,14,Yes,4,medium,Dual,7.0,18.0,54323,Touch,none,1456.77
